0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,sample
0.5151159,0.7370804,0.5925773,-0.29849982,0.20684734,1.0087347,-0.659945,-0.5767499,-1.859705,-0.82663894,-0.6977098,-2.2521284,1.3052964,-0.27619782,-1.531271,0.6525092,0.12183642,-0.56825715,-0.56511986,-1.6131923,0
0.24376109,0.084721625,0.45737517,2.006127,0.3612818,-1.6578954,-0.44537616,-0.89035153,-0.17546506,0.80497724,-1.3976417,0.8583337,-0.14539012,-0.33906695,0.47327465,-0.6282103,-1.8495498,0.810266,0.2735185,-0.5057901,0
-0.6304952,-0.0598913,-0.19619608,-1.2019083,-1.0550579,-0.41275355,-0.66655946,0.08561611,-0.048677236,-0.13472217,0.3891886,-1.1952164,0.13430636,-2.242457,0.78301483,0.057927188,-0.5557058,-0.67389894,1.4496449,-0.4815666,0
-0.38754672,-0.35295174,-0.28466213,-0.11489475,0.7299657,0.025292948,-0.08419187,-1.0158012,-0.8736604,0.31698707,-0.62473285,0.966876,2.0399442,0.037202183,0.8538354,-0.9647105,-2.011132,2.348965,0.77029717,0.43432376,0
-0.51676285,-0.34181762,-0.8657023,0.43531433,1.7859945,0.35124892,-1.5360547,-0.36457664,0.39834753,0.5971139,0.45741737,1.6130955,-0.1963537,0.5889072,1.0524038,-1.8396391,1.4126345,-0.3036639,-1.7492375,-0.15077785,0
1.9807773,0.8539242,-1.4082304,0.6976305,-0.1775547,0.5608216,0.9742956,0.99420863,-0.30308452,-0.97974503,-0.06388379,0.3525171,0.8941048,0.044586755,-1.969952,-1.502528,1.0397006,-0.3388414,-0.97849625,0.90740764,0
-0.46038508,0.43809974,-0.47527286,0.4117632,-0.6767385,0.59670997,0.598752,0.67249155,0.77565664,0.8697531,0.13724878,-0.7878967,-0.6778673,1.929376,-1.459582,0.9090567,-1.5504217,-0.2725001,2.7802184,-0.40305862,0
-0.845752,2.1745467,1.7992063,0.39963928,2.3060153,0.2917933,-0.055991255,-1.3609405,-0.60477906,-1.9578397,0.6476585,-0.005989436,0.18473145,-1.0355607,-1.4689445,-0.15792623,-0.00038778782,0.6609158,-0.82205576,-1.4592962,0
-1.6353614,0.54216087,-0.44273496,1.4107997,1.3083271,-0.30357215,0.3329924,-0.3627924,-1.2197404,-0.9766315,0.48416346,0.5991311,0.053869203,0.680906,0.16984083,-0.9875435,-1.4009035,0.56123024,-0.54306567,1.5071132,0
-1.6155163,-0.10120565,-1.5199142,-1.3414102,0.123827904,0.62952995,-0.7377304,-0.33440918,2.650273,0.41862386,-1.5886407,0.12315113,1.2668362,0.52238405,-0.3791809,0.010645127,-0.29998684,-0.34226182,0.65562916,-0.35573068,0
-0.24253032,-1.1046175,-0.50036246,0.6273986,-1.2775985,1.134202,-0.4359665,0.9694657,-0.28936493,0.81354326,-0.19053738,-0.012609184,-0.4332326,-1.7228996,-0.5911709,2.3209581,0.44286352,1.8511875,1.3991133,-0.48170626,0
-0.47103947,-0.13076973,0.685133,-1.9528017,0.783542,-0.094581485,-0.8635845,-0.11148512,0.4737764,-1.0261472,-0.07859744,-1.7445037,0.02719152,-1.6144849,1.2172728,0.63060075,-0.15243706,-0.3185349,-1.4474856,-0.5538605,0
-1.0818516,-1.2656196,0.89257956,-0.32850558,-1.0551485,0.5393114,-0.25772065,0.3948306,-0.0723031,0.2879266,-1.1497939,1.1932031,1.1473577,0.09401274,1.6360247,-1.7816906,0.6350727,0.4564631,-1.8485538,0.41200557,0
0.9658824,-2.7369208,1.8499396,0.42171243,0.29633403,-0.7723402,-0.37458467,-1.4129844,0.4031979,-0.31294692,0.90779954,0.5802,-1.578435,-0.7961022,1.3415289,-0.672771,-0.58896285,-1.2421443,0.010357022,-0.4428252,0
0.4929889,-1.100638,0.20449518,2.2347145,-0.84325457,3.2762723,0.82028735,0.54865915,0.45880753,-0.049967498,0.060530305,-0.929462,-1.0305176,-2.285058,-0.004078135,0.47475547,0.087094694,1.0702395,0.10473986,-0.108673185,0
-0.20969725,-0.43699047,0.2817812,-1.4578263,0.99800545,-0.7602203,-0.07361804,-0.7689432,2.2204413,0.3489375,0.15068942,-0.6993932,-0.19737694,-0.63181627,-1.184783,-0.4877764,-0.71448994,1.8937724,-1.0379864,-0.10697517,0
-0.53648424,0.94376826,0.962018,1.1312829,-0.28959578,0.9957119,-0.83415693,0.41183236,0.70863885,-1.4463089,0.78144383,-0.619622,-1.227065,-1.7552826,0.7751949,1.0471184,1.2213738,1.5197773,0.34455493,-0.70869184,0
-0.28149542,0.6206132,0.78907233,-0.9457124,0.7700922,0.65972435,1.9875177,0.27991986,1.4311593,-2.2793279,0.4057713,-0.4111834,0.48251075,-0.6478979,-0.79135144,-0.17408337,0.25847363,-1.019939,0.30840242,-1.7114401,0
-0.98559,0.9699197,1.0115012,0.2778015,1.4950881,1.3857268,1.3626232,-0.5073985,-1.3455099,-1.1209506,-0.921488,-0.80855954,0.11969903,0.13627544,0.3778749,-0.038414583,-1.7622615,-0.21899895,-1.6794466,-2.2081952,0
-1.3752773,-0.18129145,-0.8414223,-0.21459547,-0.02283299,2.3981974,0.81945413,-0.013311077,1.6810865,1.7843825,0.5136304,-0.34425074,1.0165226,0.09020462,0.95664155,0.11128539,0.0813842,-1.198355,-0.24913777,-1.383637,0
-0.17271234,0.39836007,1.3411025,0.74659526,0.82957685,-0.46711493,0.6841436,0.7546829,-1.4092042,1.6358416,0.46517995,-0.08075392,1.1345619,-0.23452646,-1.6078374,0.37942508,-0.05020658,-1.1102846,-0.619335,0.46331987,0
-1.9026445,-1.7542019,0.58132994,-0.37339696,-1.4751713,1.4174818,-0.35068583,2.678326,1.003841,-1.4587251,0.66278404,-0.20234022,0.48310807,-1.4157711,-0.3047887,-0.19860446,0.8554339,1.1480258,-0.9241904,-0.94977415,0
-0.7757987,1.1793416,0.7464784,-0.75176644,0.3570609,-0.5348706,-0.8948579,-0.6769279,0.97878367,2.197357,-0.7248249,1.4354693,0.06794493,-0.4831475,-0.06882715,0.058190554,-0.019521706,-0.594864,0.8688896,-0.16398923,0
-1.1340607,0.16239455,0.7716956,0.3538925,1.0274959,0.25174025,-2.731642,-0.38600773,0.6478278,0.2467409,-1.5682118,0.36738256,-1.3129874,0.87116045,-1.4819822,0.6624801,1.2217224,1.115332,-0.40995097,0.4702507,0
-0.4429386,-0.821777,1.653685,-1.1262461,1.1092473,1.1149743,-1.3695354,0.41135085,0.2152995,-0.95938015,-0.68023074,2.0208874,0.17949006,-0.20984662,-1.038547,0.89985174,0.8947873,0.05290845,-0.25632763,0.40249068,0
0.98937386,0.44269204,-1.0592557,0.6746292,-0.8253654,0.96396947,0.45263436,1.0538958,0.45245332,-1.3020751,0.769486,0.8835145,-0.02467829,-0.93250775,0.03553465,-0.03240964,-2.5889409,0.6127219,-1.035168,-0.25551972,0
-1.1708108,0.4606815,-0.0023318827,1.624419,1.0310458,-0.0099631995,1.1225514,-1.7527077,-0.13944426,1.5142659,-1.9362166,1.9010739,0.29276636,-0.525645,1.3159542,-0.7609613,-0.08937563,1.234073,0.34403992,-0.68033195,0
1.0342901,0.39266175,0.17567468,0.69790477,-0.5711796,-0.5814884,0.19430792,-0.2828534,0.5248409,-0.74656093,-0.6388006,0.73469615,1.8336589,-0.69728905,-0.45381433,-0.80038905,-2.4995747,0.48869815,1.1421902,0.6737294,0
